_id,endTime,artistName,trackName,msPlayed
6613f62aaacd8fc35bce4cb5,2023-04-11 20:01,Tracy Chapman,Fast Car,245890
6613f62aaacd8fc35bce4cb6,2023-04-11 20:06,U2,With Or Without You,295516
6613f62aaacd8fc35bce4cb7,2023-04-11 20:10,Cyndi Lauper,Time After Time,243067
6613f62aaacd8fc35bce4cb8,2023-04-11 20:14,Bryan Adams,Heaven,243360
6613f62aaacd8fc35bce4cb9,2023-04-11 20:18,Crowded House,Don't Dream It's Over,238173
6613f62aaacd8fc35bce4cba,2023-04-11 20:22,The Police,Every Breath You Take,251573
6613f62aaacd8fc35bce4cbb,2023-04-11 20:25,Tracy Chapman,Baby Can I Hold You,193120
6613f62aaacd8fc35bce4cbc,2023-04-11 20:44,The Beatles,Here Comes The Sun - Remastered 2009,14024
6613f62aaacd8fc35bce4cbd,2023-04-11 20:44,ABBA,The Winner Takes It All,210334
6613f62aaacd8fc35bce4cbe,2023-04-11 20:48,The Bangles,Eternal Flame,238027
6613f62aaacd8fc35bce4cbf,2023-04-11 21:20,The Bangles,Manic Monday,140796
6613f62aaacd8fc35bce4cc0,2023-04-12 01:44,Billy Joel,Vienna,214240
6613f62aaacd8fc35bce4cc1,2023-04-12 01:48,Bread,Everything I Own,187000
6613f62aaacd8fc35bce4cc2,2023-04-12 01:52,Styx,Babe,265973
6613f62aaacd8fc35bce4cc3,2023-04-12 01:56,Kansas,Dust in the Wind,206266
6613f62aaacd8fc35bce4cc4,2023-04-12 01:58,Jim Croce,Time in a Bottle,146175
6613f62aaacd8fc35bce4cc5,2023-04-12 01:59,James Taylor,You've Got a Friend - 2019 Remaster,26197
6613f62aaacd8fc35bce4cc6,2023-04-12 02:03,Elton John,"Rocket Man (I Think It's Going To Be A Long, Long Time)",281613
6613f62aaacd8fc35bce4cc7,2023-04-12 02:08,Fleetwood Mac,Dreams - 2004 Remaster,257800
6613f62aaacd8fc35bce4cc8,2023-04-12 02:10,America,Lonely People,150226
6613f62aaacd8fc35bce4cc9,2023-04-12 02:15,Jackson Browne,These Days,284840
6613f62aaacd8fc35bce4cca,2023-04-12 02:18,Van Morrison,Into the Mystic - 2013 Remaster,205613
6613f62aaacd8fc35bce4ccb,2023-04-12 02:21,Sara Bareilles,Orpheus,3230
6613f62aaacd8fc35bce4ccc,2023-04-12 02:21,James Taylor,How Sweet It Is (To Be Loved By You) - 2019 Remaster,144178
6613f62aaacd8fc35bce4ccd,2023-04-12 02:21,Nick Mulvey,We Are Never Apart,2434
6613f62aaacd8fc35bce4cce,2023-04-12 02:22,The Cure,Just Like Heaven,6237
6613f62aaacd8fc35bce4ccf,2023-04-12 02:23,Novo Amor,Keep Me,14483
6613f62aaacd8fc35bce4cd0,2023-04-12 03:43,Novo Amor,Anchor,31740
6613f62aaacd8fc35bce4cd1,2023-04-12 03:43,Novo Amor,Anchor,1630
6613f62aaacd8fc35bce4cd2,2023-04-12 03:47,Novo Amor,Anchor,235150
6613f62aaacd8fc35bce4cd3,2023-04-12 03:51,Novo Amor,State Lines,208653
6613f62aaacd8fc35bce4cd4,2023-04-12 03:53,Novo Amor,Haven (from Life Is Strange),172500
6613f62aaacd8fc35bce4cd5,2023-04-12 03:57,Novo Amor,Keep Me,194560
6613f62aaacd8fc35bce4cd6,2023-04-12 04:00,Novo Amor,Ontario,192867
6613f62aaacd8fc35bce4cd7,2023-04-12 04:04,Novo Amor,Repeat Until Death,234080
6613f62aaacd8fc35bce4cd8,2023-04-12 04:06,Novo Amor,Lucky for You,136000
6613f62aaacd8fc35bce4cd9,2023-04-12 04:09,Novo Amor,Decimal,178627
6613f62aaacd8fc35bce4cda,2023-04-12 04:29,Novo Amor,Carry You,241004
6613f62aaacd8fc35bce4cdb,2023-04-12 11:35,Tracy Chapman,Fast Car,296800
6613f62aaacd8fc35bce4cdc,2023-04-12 11:40,U2,With Or Without You,295516
6613f62aaacd8fc35bce4cdd,2023-04-12 11:44,Cyndi Lauper,Time After Time,243067
6613f62aaacd8fc35bce4cde,2023-04-12 11:48,Bryan Adams,Heaven,243360
6613f62aaacd8fc35bce4cdf,2023-04-12 11:52,Crowded House,Don't Dream It's Over,238173
6613f62aaacd8fc35bce4ce0,2023-04-12 11:55,Phil Collins,Against All Odds (Take a Look at Me Now) - 2016 Remaster,206360
6613f62aaacd8fc35bce4ce1,2023-04-12 11:59,The Bangles,Eternal Flame,238027
6613f62aaacd8fc35bce4ce2,2023-04-12 12:04,Kate Bush,Running Up That Hill (A Deal With God),298933
6613f62aaacd8fc35bce4ce3,2023-04-12 12:29,Elton John,I Guess That's Why They Call It The Blues,29315
6613f62aaacd8fc35bce4ce4,2023-04-12 17:55,Elton John,I Guess That's Why They Call It The Blues,256018
6613f62aaacd8fc35bce4ce5,2023-04-12 17:59,Carly Simon,Coming Around Again - Remastered 2004,222027
6613f62aaacd8fc35bce4ce6,2023-04-12 18:03,Fleetwood Mac,Gypsy,264907
